Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2004 ,366999 ,PUMPKINS ,991 ,Sum of Others ,593 ,10.90 ,6465 ,295.16 ,TONS ,1908197
2004 ,366999 ,PUMPKINS , 999, State Totals,5069 ,13.35 ,67696 ,185.64 ,    ,12567197
2004 ,218499 ,QUINCE ,107 ,Tulare ,237 ,5.95 ,1410 ,1319.86 ,TON ,1861000
2004 ,218499 ,QUINCE ,991 ,Sum of Others ,41 ,4.93 ,202 ,1158.00 ,TONS ,233916
2004 ,218499 ,QUINCE , 999, State Totals,278 ,5.80 ,1612 ,1299.58 ,    ,2094916
2004 ,462999 ,RABBITS ,73 ,San Diego ,  ,  ,  ,  ,  ,3000
2004 ,462999 ,RABBITS ,991 ,Sum of Others ,  ,  ,  ,  ,  ,12500
2004 ,462999 ,RABBITS , 999, State Totals,0 ,  ,0 ,  ,    ,15500
2004 ,318999 ,RADICCHIO ,53 ,Monterey ,2074 ,3.47 ,7200 ,1316.11 ,TON ,9476000
2004 ,318999 ,RADICCHIO ,69 ,San Benito ,323 ,5.79 ,1870 ,2225.13 ,TONS ,4161000
2004 ,318999 ,RADICCHIO ,991 ,Sum of Others ,2320 ,2.24 ,5188 ,1562.50 ,TONS ,8106253
2004 ,318999 ,RADICCHIO , 999, State Totals,4717 ,3.02 ,14258 ,1524.99 ,    ,21743253
2004 ,367999 ,RADISHES ,53 ,Monterey ,200 ,22.00 ,4400 ,427.73 ,TON ,1882000
2004 ,367999 ,RADISHES ,65 ,Riverside ,24 ,12.38 ,297 ,299.33 ,TON ,88900
2004 ,367999 ,RADISHES ,111 ,Ventura ,1031 ,6.11 ,6295 ,1121.37 ,TONS ,7059000
2004 ,367999 ,RADISHES ,991 ,Sum of Others ,495 ,9.35 ,4628 ,472.84 ,TONS ,2188320
2004 ,367999 ,RADISHES , 999, State Totals,1750 ,8.93 ,15620 ,718.20 ,    ,11218220
2004 ,306999 ,RAPPINI ,53 ,Monterey ,2988 ,3.05 ,9100 ,1314.95 ,TON ,11966000
2004 ,306999 ,RAPPINI ,991 ,Sum of Others ,1682 ,3.07 ,5162 ,1305.95 ,TONS ,6741335
2004 ,306999 ,RAPPINI , 999, State Totals,4670 ,3.05 ,14262 ,1311.69 ,    ,18707335
2004 ,106199 ,RICE MILLING ,7 ,Butte ,105000 ,4.57 ,479850 ,210.00 ,TON ,100769000
2004 ,106199 ,RICE MILLING ,11 ,Colusa ,150130 ,4.20 ,630546 ,195.00 ,TON ,122956000
2004 ,106199 ,RICE MILLING ,19 ,Fresno ,6600 ,3.42 ,22600 ,240.00 ,TON ,5424000
2004 ,106199 ,RICE MILLING ,21 ,Glenn ,86017 ,4.60 ,395670 ,210.00 ,TONS ,83092000
2004 ,106199 ,RICE MILLING ,47 ,Merced ,4810 ,2.49 ,11978 ,272.58 ,TONS ,3265000
2004 ,106199 ,RICE MILLING ,61 ,Placer ,19050 ,3.70 ,70485 ,200.00 ,TONS ,14097000
2004 ,106199 ,RICE MILLING ,67 ,Sacramento ,9851 ,4.10 ,40390 ,199.01 ,TONS ,8038000
