SITE_ID,SJV_REGION,EQ_AREA_CELL,LAT_DD,LONG_DD,COUNTY,SAMPLE_DATE,TDS,TDS_TYPE,CONDUCTIVITY,CA,MG,NA,K,CL,SO4,NO3-N,SIO2,HCO3,WELL_DEPTH_M,DTW_M,DTW_SOURCE,DBWT_M,TRIT_DATE,TRIT_2016_TU,TRIT_CAT,PCT_AG,PCT_NAT,PCT_URB,TDS_ION_MOD
374213121025601,NESJV-D,1,37.703611,-121.049139,STANISLAUS,10/16/2002,189,LAB,na,15.68,5.62,23.71,4.21,6.81,3.95,1.81,66.57,96.83,124.97,9.97,MEASURED,115,na,na,na,na,na,na,ION
380201121153301,NESJV-D,4,38.033583,-121.259139,SAN JOAQUIN,8/9/2006,191,LAB,na,18.95,11.25,12.6,5.29,5.19,9.21,0.46,62,128.57,135.64,16.41,MODEL,119.23,8/9/2006,0.543,Mod,na,na,na,ION
381500121110001,NESJV-D,4,38.031028,-121.195556,SAN JOAQUIN,1/10/2005,192,LAB,na,20.42,11.32,12.19,5.28,4.26,6.05,0.54,70.86,137.82,142.04,17.09,MODEL,124.95,1/10/2005,0.051,PreMod,na,na,na,ION
373100120470001,NESJV-D,13,37.517639,-120.799639,STANISLAUS,3/28/2006,192,LAB,na,17.48,4.97,19.56,4.36,6.9,5.93,2.1,63.1,100.21,121.92,4.48,MODEL,117.44,3/28/2006,0.29,Mod,na,na,na,ION
370700120150001,NESJV-D,24,37.118917,-120.259056,MADERA,4/24/2008,193,LAB,na,13.63,3.32,18.85,6.35,19.5,2.97,0.5,73.16,81.41,252.98,20.68,MODEL,232.3,4/24/2008,0.059,PreMod,na,na,na,ION
380216121154001,NESJV-D,4,38.038,-121.26125,SAN JOAQUIN,8/22/2007,194,LAB,na,20.16,10.97,11.09,4.71,5.43,7.25,0.61,61,130.76,118.87,26.98,MEASURED,91.89,8/22/2007,0.063,PreMod,na,na,na,ION
380004121160602,NESJV-D,4,38.001194,-121.268361,SAN JOAQUIN,2/2/2005,194,LAB,na,20.41,12.23,13.37,5.11,4.76,9.45,0.7,66.74,140.83,137.16,14.87,MODEL,122.29,2/2/2005,1.035,Mod,na,na,na,ION
375100121020001,NESJV-D,3,37.86172222,-121.0489444,STANISLAUS,2/14/2005,194,LAB,na,13.74,7.89,16.13,3.13,10.18,11.16,na,80.66,89.01,118.87,19.28,MODEL,99.59,2/14/2005,0,PreMod,na,na,na,ION
370700120140001,NESJV-D,24,37.127083,-120.249222,MADERA,5/5/2008,195,LAB,na,18.79,4.74,17.94,2.36,20,3.54,1.33,62.35,83.29,126.49,23.15,MODEL,103.34,5/5/2008,0.163,PreMod,na,na,na,ION
370400120310001,NESJV-D,19,37.073611,-120.528889,MERCED,5/12/2008,198,LAB,na,7.17,1.47,55.36,1.53,22.87,4.7,0.34,39.73,121.34,199.64,33.29,MEASURED,166.35,5/12/2008,-0.033,PreMod,na,na,na,ION
380113121062801,NESJV-D,4,38.020201,-121.108832,SAN JOAQUIN,1/13/2005,200,LAB,na,24.76,11.76,11.97,3.52,4.05,3.63,0.91,67.99,147.21,82.3,20.55,MODEL,61.74,1/13/2005,0,PreMod,na,na,na,ION
373000120500001,NESJV-D,9,37.5075,-120.846694,STANISLAUS,1/25/2010,202,LAB,na,20.98,4.92,22.88,3.57,14.77,5.51,2.87,54.44,119.28,139.29,3.57,MODEL,135.73,1/25/2010,0.251,Mod,na,na,na,ION
374240120403301,NESJV-D,15,37.71104103,-120.6768706,STANISLAUS,5/3/2006,203,CALC,307,na,na,na,na,na,na,na,na,na,248.41,13.8,MODEL,234.61,5/3/2006,0.88,Mod,na,na,na,TDS
372900120500001,NESJV-D,9,37.488361,-120.835667,STANISLAUS,3/15/2006,204,LAB,na,23.19,5.04,20.78,3.15,26.04,3.73,1.37,62.17,99.61,106.07,2.49,MODEL,103.58,3/15/2006,0,PreMod,na,na,na,ION
373844120462501,NESJV-D,14,37.64561111,-120.7736111,STANISLAUS,3/21/2006,205,CALC,310,na,na,na,na,na,na,na,na,na,89,19.03,MODEL,69.98,3/21/2006,3.065,Mod,na,na,na,TDS
371300120150001,NESJV-D,25,37.232944,-120.257389,MERCED,1/28/2010,208,LAB,na,25.16,8.73,17.88,3.52,6.12,20.37,0.95,42.25,146.45,188.98,4.95,MODEL,184.03,1/28/2010,2.277,Mod,na,na,na,ION
